feature,original_column,dtype_train,feature_type,missing_count_train,missing_ratio_train,n_unique_train_dropna,n_unique_train_include_na,suggested_imputation,missing_indicator_recommended,median_value_train,mode_value_train
BS_Total_Equity_Gross_Minority_Interest,BS_Total Equity Gross Minority Interest,float64,numeric,259,0.38830584707646176,408,409,median,True,1239784580500.0,
BS_Total_Tax_Payable,BS_Total Tax Payable,float64,numeric,259,0.38830584707646176,408,409,median,True,12750536189.5,
IS_Net_Income,IS_Net Income,float64,numeric,259,0.38830584707646176,408,409,median,True,51464333500.0,
IS_Tax_Effect_Of_Unusual_Items,IS_Tax Effect Of Unusual Items,float64,numeric,259,0.38830584707646176,312,313,median,True,0.0,
IS_Tax_Rate_For_Calcs,IS_Tax Rate For Calcs,float64,numeric,259,0.38830584707646176,318,319,median,True,0.2194355,
lastDividendDate,lastDividendDate,float64,numeric,240,0.3598200899550225,209,210,median,True,1746662400.0,
debtToEquity,debtToEquity,float64,numeric,144,0.2158920539730135,520,521,median,True,26.919,
freeCashflow,freeCashflow,float64,numeric,124,0.18590704647676162,543,544,median,True,800051456.0,
ebitda,ebitda,float64,numeric,106,0.15892053973013492,561,562,median,True,23996375040.0,
enterpriseToEbitda,enterpriseToEbitda,float64,numeric,106,0.15892053973013492,558,559,median,True,9.249,
currentRatio,currentRatio,float64,numeric,81,0.12143928035982009,560,561,median,True,1.8889999999999998,
quickRatio,quickRatio,float64,numeric,81,0.12143928035982009,545,546,median,True,0.973,
returnOnEquity,returnOnEquity,float64,numeric,74,0.11094452773613193,590,591,median,True,0.04355,
returnOnAssets,returnOnAssets,float64,numeric,64,0.095952023988006,592,593,median,True,0.023459999,
revenueGrowth,revenueGrowth,float64,numeric,57,0.08545727136431784,459,460,median,True,0.023,
fullTimeEmployees,fullTimeEmployees,float64,numeric,50,0.07496251874062969,463,464,median,True,327.0,
Revenue_2024,Revenue 2024,float64,numeric,47,0.0704647676161919,177,178,median,True,759148978.741429,
operatingCashflow,operatingCashflow,float64,numeric,46,0.06896551724137931,621,622,median,True,6889209344.0,
enterpriseToRevenue,enterpriseToRevenue,float64,numeric,44,0.06596701649175413,591,592,median,True,1.956,
revenuePerShare,revenuePerShare,float64,numeric,44,0.06596701649175413,611,612,median,True,130.264,
totalRevenue,totalRevenue,float64,numeric,44,0.06596701649175413,623,624,median,True,404579123200.0,
industryKey,industryKey,str,categorical,43,0.06446776611694154,100,101,constant_missing,False,,banks-regional
sectorKey,sectorKey,str,categorical,43,0.06446776611694154,11,12,constant_missing,False,,consumer-cyclical
SandP52WeekChange,SandP52WeekChange,float64,numeric,43,0.06446776611694154,1,2,median,True,0.12792087,
ebitdaMargins,ebitdaMargins,float64,numeric,43,0.06446776611694154,551,552,median,True,0.08529500200000001,
enterpriseValue,enterpriseValue,float64,numeric,43,0.06446776611694154,624,625,median,True,1146832617472.0,
grossMargins,grossMargins,float64,numeric,43,0.06446776611694154,579,580,median,True,0.232895,
grossProfits,grossProfits,float64,numeric,43,0.06446776611694154,624,625,median,True,104964308992.0,
lastFiscalYearEnd,lastFiscalYearEnd,float64,numeric,43,0.06446776611694154,8,9,median,True,1735603200.0,
mostRecentQuarter,mostRecentQuarter,float64,numeric,43,0.06446776611694154,8,9,median,True,1743379200.0,
operatingMargins,operatingMargins,float64,numeric,43,0.06446776611694154,622,623,median,True,0.0607449985,
profitMargins,profitMargins,float64,numeric,43,0.06446776611694154,608,609,median,True,0.04018,
